"object_name","r_class","dimensions","in_memory_bytes","contains_patient_data"
"model_name","character","length:1",136,FALSE
"lambda_min","numeric","length:1",56,FALSE
"coefficients","matrix;array","15x1",1696,FALSE
"W_sub_list","list","length:4",2163576,FALSE
"mu_tr_list","list","length:4",878656,FALSE
"Omega_tr","matrix;array","15x15",4320,FALSE
"inv_omega","matrix;array","15x15",4320,FALSE
"median_train_risk","numeric","length:1",56,FALSE
"train_risk_mean","numeric","length:1",56,FALSE
"train_risk_sd","numeric","length:1",56,FALSE
"selected_features","list","length:4",786800,FALSE
"combat_params_rna","list","length:5",8444624,FALSE
"combat_params_meth","list","length:5",3125904,FALSE
"tr_norm_factors_median","numeric","length:1",56,FALSE
"tr_meth_meds","numeric","length:359491",28759488,FALSE
"h0_step","stepfun;function","length:1",16432,FALSE
"annot_unique","data.frame","14582x4",4677256,FALSE
