"gene","weight","direction"
"CYP3A4",1.93285012245178,"Positive"
"CYP1A2",1.82223355770111,"Positive"
"CYP8B1",1.81460678577423,"Positive"
"GLYAT",1.80135786533356,"Positive"
"CYP2A6",1.77578055858612,"Positive"
"SLC10A1",1.75774788856506,"Positive"
"TAT",1.64667129516602,"Positive"
"HPD",1.63776338100433,"Positive"
"ADH4",1.5446081161499,"Positive"
"SLC22A1_RNA",1.52519595623016,"Positive"
"LINC01018",1.51576721668243,"Positive"
"PCK1",1.49531984329224,"Positive"
"AQP9",1.4669177532196,"Positive"
"CYP2A7",1.45194137096405,"Positive"
"HSD11B1",1.44216680526733,"Positive"
"CCL20",-0.799668073654175,"Negative"
"CDC20",-0.812646687030792,"Negative"
"EPCAM",-0.825722754001617,"Negative"
"SPINT1",-0.826087057590485,"Negative"
"GAL3ST1",-0.829610288143158,"Negative"
"DEPDC1B",-0.83422589302063,"Negative"
"ELOVL7",-0.840312480926514,"Negative"
"EPS8L3",-0.86799693107605,"Negative"
"IGF2BP2",-0.882314562797546,"Negative"
"CD24_RNA",-0.930421590805054,"Negative"
"PEG10",-0.935446858406067,"Negative"
"SPHK1",-0.938711762428284,"Negative"
"SPP1",-0.95333194732666,"Negative"
"SULT1C2",-0.966742098331451,"Negative"
"MYBL2",-0.99052107334137,"Negative"
