factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor1,Positive,GO_Biological_Process,GO:0030198,extracellular matrix organization,16/92,50/828,3.20919368963404e-05,0.0167733856844872,16,SPINT1/LUM/QSOX1/MFAP4/ADAMTSL2/FMOD/PDGFRA/LAMA2/CREB3L1/COL14A1/AEBP1/LOXL4/MYH11/MELTF/ELN/PAPLN,Robust Supported
Factor1,Positive,GO_Biological_Process,GO:0043062,extracellular structure organization,16/92,50/828,3.20919368963404e-05,0.0167733856844872,16,SPINT1/LUM/QSOX1/MFAP4/ADAMTSL2/FMOD/PDGFRA/LAMA2/CREB3L1/COL14A1/AEBP1/LOXL4/MYH11/MELTF/ELN/PAPLN,Robust Supported
Factor1,Positive,GO_Biological_Process,GO:0045229,external encapsulating structure organization,16/92,50/828,3.20919368963404e-05,0.0167733856844872,16,SPINT1/LUM/QSOX1/MFAP4/ADAMTSL2/FMOD/PDGFRA/LAMA2/CREB3L1/COL14A1/AEBP1/LOXL4/MYH11/MELTF/ELN/PAPLN,Robust Supported
Factor1,Positive,GO_Biological_Process,GO:0097435,supramolecular fiber organization,17/92,61/828,0.000130729286514425,0.0512458803136547,17,OBSCN/KRT7/LUM/CCL21/MFAP4/FMOD/WIPF3/PDGFRA/COL14A1/TRPV4/CXCL12/AEBP1/LOXL4/MYH11/ELN/SPIRE1/FAM171A1,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0030036,actin cytoskeleton organization,13/92,44/828,0.000483327385264639,0.151571468018991,13,OBSCN/CCL21/WIPF3/PDGFRA/TRPV4/CXCL12/MYH11/ELN/CDC42BPG/EPHA3/SPIRE1/FAM171A1/NPHP4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0030029,actin filament-based process,13/92,48/828,0.00122385578143021,0.319834310880428,13,OBSCN/CCL21/WIPF3/PDGFRA/TRPV4/CXCL12/MYH11/ELN/CDC42BPG/EPHA3/SPIRE1/FAM171A1/NPHP4,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0007155,cell adhesion,25/92,130/828,0.0019420997754703,0.435030349705347,25,EPCAM/PTPRS/TESC/CCL21/MFAP4/PKHD1/GPC4/PDGFRA/THBS2/LAMA2/COL14A1/TRPV4/CXCL12/ISLR/CD24/DACT2/MELTF/EPHA3/VCAN/FBLN2/SVEP1/LAMC3/TJP3/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0045216,cell-cell junction organization,6/92,14/828,0.0023046486875679,0.451711142763308,6,PKHD1/TRPV4/SVEP1/TJP3/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0016043,cellular component organization,48/92,316/828,0.00266066081018061,0.451774769747117,48,PTPRS/SPINT1/FGFR2/OBSCN/KRT7/TGFA/DCN/LUM/CCL21/QSOX1/MFAP4/PKHD1/KCNS3/ADAMTSL2/FMOD/HAMP/GPC4/WIPF3/PDGFRA/THBS2/LAMA2/CREB3L1/NGFR/RAB34/COL14A1/TRPV4/CXCL12/SUSD4/AEBP1/CD24/PTK6/LOXL4/RAP1GAP2/MYH11/DCDC2/MELTF/ELN/CDC42BPG/EPHA3/SEZ6L2/SYNGR1/SPIRE1/FAM171A1/SVEP1/TJP3/PAPLN/NPHP4/CNTNAP2,Exploratory
Factor1,Positive,GO_Biological_Process,GO:0071840,cellular component organization or biogenesis,48/92,317/828,0.00288121664379539,0.451774769747117,48,PTPRS/SPINT1/FGFR2/OBSCN/KRT7/TGFA/DCN/LUM/CCL21/QSOX1/MFAP4/PKHD1/KCNS3/ADAMTSL2/FMOD/HAMP/GPC4/WIPF3/PDGFRA/THBS2/LAMA2/CREB3L1/NGFR/RAB34/COL14A1/TRPV4/CXCL12/SUSD4/AEBP1/CD24/PTK6/LOXL4/RAP1GAP2/MYH11/DCDC2/MELTF/ELN/CDC42BPG/EPHA3/SEZ6L2/SYNGR1/SPIRE1/FAM171A1/SVEP1/TJP3/PAPLN/NPHP4/CNTNAP2,Exploratory
