run_index,run_id,repeat_id,fold_id,model,c_index,brier_1yr,brier_3yr,brier_5yr,ibs
1,Fold1.Rep01,1,1,LASSO-Cox,0.568055555555556,0.141231897985665,0.215167275170849,0.201743851950489,0.186047675035668
1,Fold1.Rep01,1,1,ElasticNet,0.568055555555556,0.140836663509968,0.214640075508939,0.202481522429597,0.185986087149501
1,Fold1.Rep01,1,1,XGBoost-AFT,0.475,0.165858589007133,0.337773225240908,0.549728350164337,0.351120054804126
1,Fold1.Rep01,1,1,RandomSurvivalForest,0.618055555555556,0.140912300950002,0.214202656316454,0.214896831241923,0.190003929502793
2,Fold2.Rep01,1,2,LASSO-Cox,0.576138147566719,0.136828947445552,0.226853482202441,0.29948172034589,0.221054716664628
2,Fold2.Rep01,1,2,ElasticNet,0.558869701726845,0.136317338561951,0.226954750548533,0.299969969395453,0.221080686168646
2,Fold2.Rep01,1,2,XGBoost-AFT,0.425431711145997,0.165610004095827,0.332839023530412,0.502530633608196,0.333659887078145
2,Fold2.Rep01,1,2,RandomSurvivalForest,0.511773940345369,0.144089615807029,0.262276920009052,0.346399538174736,0.250922024663606
3,Fold3.Rep01,1,3,LASSO-Cox,0.55448717948718,0.149122965717102,0.24659021385977,0.262570570902197,0.219427916826356
3,Fold3.Rep01,1,3,ElasticNet,0.551282051282051,0.147978753347606,0.245174967220192,0.260071056231868,0.217741592266555
3,Fold3.Rep01,1,3,XGBoost-AFT,0.55849358974359,0.171172210524564,0.371413565888844,0.557727795535931,0.36677119064978
3,Fold3.Rep01,1,3,RandomSurvivalForest,0.520833333333333,0.146383240728445,0.252649420286552,0.231932871128744,0.210321844047914
4,Fold4.Rep01,1,4,LASSO-Cox,0.544093178036606,0.104543012891673,0.242260767384928,0.226668927575174,0.191157569283925
4,Fold4.Rep01,1,4,ElasticNet,0.544093178036606,0.103751462416172,0.243809707684502,0.232027840812658,0.193196336971111
4,Fold4.Rep01,1,4,XGBoost-AFT,0.508319467554077,0.112132491095565,0.416298003744366,0.464767775272556,0.331066090037496
4,Fold4.Rep01,1,4,RandomSurvivalForest,0.585690515806988,0.115898515814943,0.272758729484956,0.280974351752442,0.22321053235078
5,Fold5.Rep01,1,5,LASSO-Cox,0.589371980676329,0.196819731701835,0.232099044434708,0.20645749364003,0.211792089925524
5,Fold5.Rep01,1,5,ElasticNet,0.588164251207729,0.196973124781773,0.233340594972222,0.208092344481807,0.212802021411934
5,Fold5.Rep01,1,5,XGBoost-AFT,0.495169082125604,0.257705325602908,0.436352669656724,0.49795250750239,0.397336834254007
5,Fold5.Rep01,1,5,RandomSurvivalForest,0.539855072463768,0.195148654115611,0.226662488003052,0.222751116690044,0.214854086269569
6,Fold1.Rep02,2,1,LASSO-Cox,0.517887563884157,0.112170125104732,0.235499923056773,0.298639197839148,0.215436415333551
6,Fold1.Rep02,2,1,ElasticNet,0.517887563884157,0.112221590832268,0.233553756919247,0.298997429171735,0.214924258974417
6,Fold1.Rep02,2,1,XGBoost-AFT,0.525553662691653,0.113416680281266,0.330620061727608,0.600885580459397,0.348307440822757
6,Fold1.Rep02,2,1,RandomSurvivalForest,0.504258943781942,0.128893588414885,0.233492353957106,0.28276509186425,0.215050344745413
7,Fold2.Rep02,2,2,LASSO-Cox,0.5984375,0.108305105803983,0.236397596397598,0.274874612953083,0.206525771718221
7,Fold2.Rep02,2,2,ElasticNet,0.5984375,0.10766673681377,0.237453064246349,0.277369032762213,0.207496277940777
7,Fold2.Rep02,2,2,XGBoost-AFT,0.475,0.126016281613081,0.416805622784502,0.413916063529454,0.318912655975679
7,Fold2.Rep02,2,2,RandomSurvivalForest,0.6484375,0.132022446975069,0.216114354349335,0.272722176108519,0.206952992477641
8,Fold3.Rep02,2,3,LASSO-Cox,0.700906344410876,0.134317287760621,0.229099579876956,0.214326348340153,0.192581071992576
8,Fold3.Rep02,2,3,ElasticNet,0.687311178247734,0.135261993516323,0.230104169270292,0.215495564544008,0.193620575776874
8,Fold3.Rep02,2,3,XGBoost-AFT,0.465256797583082,0.187699284799291,0.354971565768897,0.404088341006825,0.315586397191671
8,Fold3.Rep02,2,3,RandomSurvivalForest,0.583081570996979,0.143283476012589,0.297492616601163,0.304525072423625,0.248433721679126
9,Fold4.Rep02,2,4,LASSO-Cox,0.473350253807107,0.187450665625397,0.233897005902805,0.18464049938434,0.201996056970847
9,Fold4.Rep02,2,4,ElasticNet,0.478426395939086,0.186404063805071,0.232212573880406,0.183679967743438,0.200765535142972
9,Fold4.Rep02,2,4,XGBoost-AFT,0.418781725888325,0.219709018406522,0.341741700191647,0.513008218461258,0.358152979019809
9,Fold4.Rep02,2,4,RandomSurvivalForest,0.434010152284264,0.192297061571731,0.239684264449644,0.205140320669676,0.21237388223035
10,Fold5.Rep02,2,5,LASSO-Cox,0.707913669064748,0.170830147627859,0.196063942322499,0.245520992572356,0.204138360840905
10,Fold5.Rep02,2,5,ElasticNet,0.707913669064748,0.156418261495116,0.174072476694125,0.224263486066021,0.184918074751754
10,Fold5.Rep02,2,5,XGBoost-AFT,0.556115107913669,0.238283760910609,0.399119935611338,0.588746395990151,0.408716697504033
10,Fold5.Rep02,2,5,RandomSurvivalForest,0.628776978417266,0.175170556426333,0.212450610698616,0.253161849486702,0.21359433887055
11,Fold1.Rep03,3,1,LASSO-Cox,0.569875776397516,0.125483200156311,0.249146101479601,0.209744606247449,0.194791302627787
11,Fold1.Rep03,3,1,ElasticNet,0.569875776397516,0.126210683390074,0.248856472432282,0.209049117543565,0.194705424455307
11,Fold1.Rep03,3,1,XGBoost-AFT,0.509316770186335,0.152778024654066,0.45808130823449,0.513819099916627,0.374892810935061
