factor_id,total_r2_pct,rna_r2_pct,methylation_r2_pct,cnv_r2_pct,snv_r2_pct,dominant_modality,elasticnet_coef,is_enet_selected,univariate_c_index,univariate_cox_coef,univariate_hr,univariate_hr_95ci_lower,univariate_hr_95ci_upper,univariate_z,univariate_pvalue,top_pos_rna,top_neg_rna,top_pos_meth,top_neg_meth,top_pos_cnv,top_neg_cnv,top_pos_snv,top_neg_snv,biological_theme
Factor1,49.92,3.486,46.423,0.003,0.0074,Methylation,-0.041185,TRUE,0.554,-0.06483,0.9372,0.8695,1.0102,-1.694,0.0902472812961106,"EPCAM, PLPP2, PTPRS, DEFB1, CACNA1H","CYP1A1, CYP8B1, STEAP1, ALDH1L1, UGT1A4","cg03784302, cg24980040, cg07910065","cg17300544, cg24102266, cg15044248","MIR6774, LINC02132, MIR5093","ARF1, C1orf35, CIAO2AP2","BAP1, SPEG, RASA1","CTNNB1, TP53, ALB",Global Epigenomic Remodeling & Stemness (EPCAM+ vs CYP1A1-)
Factor2,19.51,17.031,2.457,0.018,0.00399,RNA,-0.166463,TRUE,0.6261,-0.25478,0.7751,0.677,0.8874,-3.691,0.000223640655022225,"CYP3A4, CYP1A2, CYP8B1, GLYAT, CYP2A6","MYBL2, SULT1C2, SPP1, SPHK1, PEG10","cg09276315, cg14502728, cg04797170","cg10846328, cg10571824, cg27197524","TNFRSF10C, RPSAP48, KCNV1","RN7SL700P, GNG5P5, C8orf76","CTNNB1, ALB, COL11A1","TP53, BAP1, NOS3",Hepatocyte Differentiation vs Mitotic Proliferation (Primary Prognostic Driver)
Factor3,16.664,1.15,0.282,15.223,0.00777,CNV,0.002751,TRUE,0.5548,0.07919,1.0824,0.9773,1.1989,1.519,0.12877326754106,"SFN, AKR7A3, ARHGEF16, NQO1, GPX2","ADRA1A, DAB1, AVPR1A, GCGR, IGHA1","cg01597066, cg11376305, cg01821058","cg17330303, cg13374701, cg07963363","SLC16A14P1, RNU4-37P, LINC02237","RN7SKP159, CCAR2, BIN3","CTNNB1, TP53, SPTA1","EEF1A1, HUWE1, NEB",Chromosomal Instability / Somatic Copy Number Alteration Axis
Factor4,9.807,1.693,0.469,7.639,0.00592,CNV,0,FALSE,0.5333,-0.04742,0.9537,0.8752,1.0392,-1.082,0.279288267347764,"HSPB8, LCN2, STEAP1, CD44, MT1G","GNMT, HAL, PRODH, G6PC1, SUSD4","cg25863289, cg01940181, cg22536770","cg08624680, cg21435684, cg02659794","LPAR6, RB1_CNV, LINC00462","CTSS, MCL1, RN7SL473P","CTNNB1, ALB, ZNF347","TP53, HMCN1, RB1",Genomic Structural Instability Axis 2
Factor5,8.681,0.602,8.074,0.002,0.00317,Methylation,0,FALSE,0.5084,0.02584,1.0262,0.9009,1.1688,0.389,0.697217421534994,"KCNB1, DGCR5, CNTNAP2, MDGA1, KCNK1","TMED3, LINC00665, ZNF331, ZNF83, PLPP2","cg01893212, cg02467990, cg18607529","cg23503075, cg20170943, cg10842339","RNU6-300P, ARMT1, HSPA8P15","BNIP3L, LINC02839, CHMP4C","CTNNB1, PCLO, CNGA3","CSMD3, COL11A1, NF1",Secondary Epigenetic / DNA Methylation Remodeling
Factor6,7.392,0.761,0.094,6.531,0.00677,CNV,0,FALSE,0.542,-0.05726,0.9444,0.8518,1.047,-1.088,0.276642835802401,"PHLDA3, LCN2, CFHR4, FUT6, SHBG","E2F1, BIRC5, DEPDC1, TTK, MYBL2","cg23716449, cg03964515, cg16624482","cg16743924, cg11498870, cg07469546","C13orf46, MIR548AR, ATP4B","RAMACL, RPS6KA2, RNA5SP226","CTNNB1, LRP2, TTN","TP53, COL15A1, ANO4",Copy Number Segmental Variation (1q/8q Chr Arms)
Factor7,7.15,0.696,0.251,6.199,0.0046,CNV,0,FALSE,0.5153,0.00897,1.009,0.9046,1.1254,0.161,0.872110130237616,"FABP1, RELN, PCAT2, CCL20, MBL2","NPR3, PRSS8, LINC01018, BBOX1, OBSCN","cg23553867, cg26221941, cg07867133","cg02102807, cg12473943, cg12456280","RPL12P34, LINC02342, PPP1R2P10","PRAMEF1, RN7SL186P, CFL1P6","CSMD3, ADAMTS19, KANSL1","NF1, GLI2, ACVR2A",Copy Number Segmental Variation (Chr 4/13 Losses)
Factor8,6.661,0.361,0.09,6.204,0.00642,CNV,0.039801,TRUE,0.5454,0.11477,1.1216,0.9834,1.2793,1.71,0.0872506390048949,"NAT2, TUSC3, MT2A, NECAB2, MT1E","PCOLCE2, SGCE, CYP4A11, AMDHD1, AFP","cg02894204, cg16269733, cg18854679","cg09605021, cg03964515, cg08836375","FHIP2B, HR, HRURF","RNU2-6P, RNU6-68P, RUBCNL","TP53, XIRP2, MUC16","AXIN1, TTN, SPTA1",Secondary CNV / Metabolic Alteration Axis (Prognostic Modulator)
Factor9,6.527,0.629,0.114,5.777,0.00643,CNV,0,FALSE,0.5202,0.07152,1.0741,0.9421,1.2247,1.069,0.285248368737913,"SLC39A5, CHST9, PHGDH, FADS2, EPPK1","ARFGEF3, CFHR4, DRAIC, GPC4, CFHR1","cg25340758, cg27139941, cg16366262","cg02948855, cg13707793, cg15375163","NSFP1, HMGB3P4, MIR623","RNA5S13, RNA5S14, RNA5S15","MUC16, COL11A1, ALB","BAP1, CHD7, DHX9",Copy Number Segmental Variation (Chr 8p/17p Loss)
Factor10,5.942,0.503,0.137,5.294,0.00759,CNV,0,FALSE,0.5115,0.06026,1.0621,0.9055,1.2458,0.74,0.459005232648929,"TTLL7, CD38, ETNPPL, DRAIC, CTH","DCDC2, TBX3, FAM171A1, ELFN1, TNFRSF19","cg26464626, cg23205818, cg20017132","cg04521510, cg16366262, cg10400362","LINC01714, CHD5, RPL7AP18","PRSS51, LINC03022, PRSS52P","TP53, SACS, CSMD3","CTNNB1, AXIN1, MUC5B",Copy Number Segmental Variation (Chr 11q/19p)
Factor11,5.521,0.435,0.074,5.006,0.00556,CNV,0,FALSE,0.5243,0.01547,1.0156,0.8854,1.1649,0.221,0.825036246943267,"HSD11B1, CUX2, ADRA1A, LINC00665, NUGGC","PHGDH, ADH1A, CYP2C19, EBF4, CACNA1H","cg00299737, cg14775958, cg00535785","cg04545872, cg05721751, cg25379549","SCARA5, ENTPD4-DT, SLC25A37","C6orf120, PHF10, LINC00242","AXIN1, RB1, RPS6KA3","CSMD2, ADAMTS19, ALB",Copy Number Segmental Variation (Chr 6/16)
Factor12,5.504,0.276,0.022,5.201,0.00534,CNV,0,FALSE,0.4928,-0.01084,0.9892,0.8863,1.104,-0.193,0.84664361134992,"SLC39A5, VCAM1, ASPDH, CCL16, SLC13A5","LOC729654, ZNF28, CHST9, B3GNT5, ZNF468","cg24982763, cg22718169, cg26910936","cg23703216, cg27026390, cg00964355","GPC5-AS2, GPC5-IT1, MIR548AS","KARS1P1, RNU6-74P, VWA8-AS1","CTNNB1, PCLO, COL11A1","TP53, ROBO2, VPS13A",Copy Number Segmental Variation (Chr 9/14)
Factor13,5.048,0.346,0.26,4.434,0.00774,CNV,0,FALSE,0.4859,-0.01133,0.9887,0.8889,1.0997,-0.209,0.8346199802937,"DIO1, IYD, DPYS, F2RL1, LINC01348","PHLDA3, RETREG1, CHST9, PFKP, NKD1","cg01597066, cg11376305, cg23528142","cg20916523, cg21686890, cg05762221","MIR548AR, PARP1P1, MCF2L","RNA5SP432, SLC7A5, LINC02342","TP53, RB1, ALB","BAP1, MUC16, FAT2",Copy Number Segmental Variation (Chr 20/22)
Factor14,4.638,0.135,0.09,4.407,0.00593,CNV,-0.045543,TRUE,0.5481,-0.12036,0.8866,0.7856,1.0006,-1.951,0.0510848933783734,"TUSC8, PLIN1, NDUFA6-DT, ANGPTL8, NKD1","PHYHD1, FOLH1, C12orf75, TNFRSF11B, CHAF1B","cg11897433, cg11531021, cg10572450","cg07628855, cg10050410, cg09533708","RCBTB2, DUSP5P1, RNA5S1","NOS2P2, LGALS9C, TNPO1P2","CTNNB1, UNC45B, LAMA2","MUC16, ADGRL3, ARID1A",Secondary CNV / Lipid Signaling Axis (Prognostic Modulator)
